Part;Value;Device;Footprint Name;Detailed Description;Link;Manuf Part Number;Datasheet URL;Description;Manufacturer;DigiKey Part Number;Pricing;Stock;Package/Footprint
EMG1:U$13;RNCF0603BKC1M00;RNCF0603BKC1M00;RNCF0603BKC1M00;1M Resistor 0.1% 1/10W;https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RNCF0603BKC1M00/6260857;RNCF0603BKC1M00;https://www.seielect.com/catalog/SEI-RNCF.pdf;RES SMD 1M OHM 0.1% 1/10W 0603;Stackpole Electronics Inc;RNCF0603BKC1M00CT-ND;[{'break_quantity': 1, 'total_price': 0.11, 'unit_price': 0.11}, {'break_quantity': 10, 'total_price': 0.84, 'unit_price': 0.084}, {'break_quantity': 25, 'total_price': 1.97, 'unit_price': 0.0788}, {'break_quantity': 50, 'total_price': 3.76, 'unit_price': 0.0752}, {'break_quantity': 100, 'total_price': 6.98, 'unit_price': 0.0698}, {'break_quantity': 250, 'total_price': 16.51, 'unit_price': 0.06604}];7470;0603 (1608 Metric)
EMG1:U$14;RNCF0402BTE10K0;RNCF0402BTE10K0;RNCF0402BTE10K0;10K Resistor 0.1% 1/10W;https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RNCF0402BTE10K0/1710765;RNCF0402BTE10K0;https://www.seielect.com/catalog/SEI-RNCF.pdf;RES SMD 10K OHM 0.1% 1/10W 0402;Stackpole Electronics Inc;RNCF0402BTE10K0CT-ND;[{'break_quantity': 1, 'total_price': 0.1, 'unit_price': 0.1}, {'break_quantity': 10, 'total_price': 0.7, 'unit_price': 0.07}, {'break_quantity': 25, 'total_price': 1.6, 'unit_price': 0.064}, {'break_quantity': 50, 'total_price': 3.17, 'unit_price': 0.0634}, {'break_quantity': 100, 'total_price': 5.88, 'unit_price': 0.0588}, {'break_quantity': 250, 'total_price': 13.39, 'unit_price': 0.05356}, {'break_quantity': 500, 'total_price': 26.37, 'unit_price': 0.05274}, {'break_quantity': 1000, 'total_price': 47.05, 'unit_price': 0.04705}];4597;0402 (1005 Metric)
EMG1:U$15;RNCS0805BKE150K;RNCS0805BKE150K;RNCS0805BKE150K;150K Resistor 0.1% 1/10W;https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RNCS0805BKE150K/1800071;RNCS0805BKE150K;https://www.seielect.com/catalog/SEI-RNCS.pdf;RES 150K OHM 0.1% 1/10W 0805;Stackpole Electronics Inc;738-RNCS0805BKE150KCT-ND;[{'break_quantity': 1, 'total_price': 0.17, 'unit_price': 0.17}, {'break_quantity': 10, 'total_price': 1.45, 'unit_price': 0.145}, {'break_quantity': 25, 'total_price': 3.35, 'unit_price': 0.134}, {'break_quantity': 50, 'total_price': 6.33, 'unit_price': 0.1266}, {'break_quantity': 100, 'total_price': 11.97, 'unit_price': 0.1197}, {'break_quantity': 250, 'total_price': 27.79, 'unit_price': 0.11116}, {'break_quantity': 500, 'total_price': 52.65, 'unit_price': 0.1053}];1930;0805 (2012 Metric)
EMG1:U$16;RNCS0805BKE150K;RNCS0805BKE150K;RNCS0805BKE150K;150K Resistor 0.1% 1/10W;https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RNCS0805BKE150K/1800071;RNCS0805BKE150K;https://www.seielect.com/catalog/SEI-RNCS.pdf;RES 150K OHM 0.1% 1/10W 0805;Stackpole Electronics Inc;738-RNCS0805BKE150KCT-ND;[{'break_quantity': 1, 'total_price': 0.17, 'unit_price': 0.17}, {'break_quantity': 10, 'total_price': 1.45, 'unit_price': 0.145}, {'break_quantity': 25, 'total_price': 3.35, 'unit_price': 0.134}, {'break_quantity': 50, 'total_price': 6.33, 'unit_price': 0.1266}, {'break_quantity': 100, 'total_price': 11.97, 'unit_price': 0.1197}, {'break_quantity': 250, 'total_price': 27.79, 'unit_price': 0.11116}, {'break_quantity': 500, 'total_price': 52.65, 'unit_price': 0.1053}];1930;0805 (2012 Metric)
EMG1:U$17;RNCF0402BTE10K0;RNCF0402BTE10K0;RNCF0402BTE10K0;10K Resistor 0.1% 1/10W;https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RNCF0402BTE10K0/1710765;RNCF0402BTE10K0;https://www.seielect.com/catalog/SEI-RNCF.pdf;RES SMD 10K OHM 0.1% 1/10W 0402;Stackpole Electronics Inc;RNCF0402BTE10K0CT-ND;[{'break_quantity': 1, 'total_price': 0.1, 'unit_price': 0.1}, {'break_quantity': 10, 'total_price': 0.7, 'unit_price': 0.07}, {'break_quantity': 25, 'total_price': 1.6, 'unit_price': 0.064}, {'break_quantity': 50, 'total_price': 3.17, 'unit_price': 0.0634}, {'break_quantity': 100, 'total_price': 5.88, 'unit_price': 0.0588}, {'break_quantity': 250, 'total_price': 13.39, 'unit_price': 0.05356}, {'break_quantity': 500, 'total_price': 26.37, 'unit_price': 0.05274}, {'break_quantity': 1000, 'total_price': 47.05, 'unit_price': 0.04705}];4597;0402 (1005 Metric)
EMG1:U$19;RNCF0402BTE10K0;RNCF0402BTE10K0;RNCF0402BTE10K0;10K Resistor 0.1% 1/10W;https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RNCF0402BTE10K0/1710765;RNCF0402BTE10K0;https://www.seielect.com/catalog/SEI-RNCF.pdf;RES SMD 10K OHM 0.1% 1/10W 0402;Stackpole Electronics Inc;RNCF0402BTE10K0CT-ND;[{'break_quantity': 1, 'total_price': 0.1, 'unit_price': 0.1}, {'break_quantity': 10, 'total_price': 0.7, 'unit_price': 0.07}, {'break_quantity': 25, 'total_price': 1.6, 'unit_price': 0.064}, {'break_quantity': 50, 'total_price': 3.17, 'unit_price': 0.0634}, {'break_quantity': 100, 'total_price': 5.88, 'unit_price': 0.0588}, {'break_quantity': 250, 'total_price': 13.39, 'unit_price': 0.05356}, {'break_quantity': 500, 'total_price': 26.37, 'unit_price': 0.05274}, {'break_quantity': 1000, 'total_price': 47.05, 'unit_price': 0.04705}];4597;0402 (1005 Metric)
EMG1:U$20;RNCF0402BTE10K0;RNCF0402BTE10K0;RNCF0402BTE10K0;10K Resistor 0.1% 1/10W;https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RNCF0402BTE10K0/1710765;RNCF0402BTE10K0;https://www.seielect.com/catalog/SEI-RNCF.pdf;RES SMD 10K OHM 0.1% 1/10W 0402;Stackpole Electronics Inc;RNCF0402BTE10K0CT-ND;[{'break_quantity': 1, 'total_price': 0.1, 'unit_price': 0.1}, {'break_quantity': 10, 'total_price': 0.7, 'unit_price': 0.07}, {'break_quantity': 25, 'total_price': 1.6, 'unit_price': 0.064}, {'break_quantity': 50, 'total_price': 3.17, 'unit_price': 0.0634}, {'break_quantity': 100, 'total_price': 5.88, 'unit_price': 0.0588}, {'break_quantity': 250, 'total_price': 13.39, 'unit_price': 0.05356}, {'break_quantity': 500, 'total_price': 26.37, 'unit_price': 0.05274}, {'break_quantity': 1000, 'total_price': 47.05, 'unit_price': 0.04705}];4597;0402 (1005 Metric)
EMG1:U$21;RNCF0402BTE10K0;RNCF0402BTE10K0;RNCF0402BTE10K0;10K Resistor 0.1% 1/10W;https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RNCF0402BTE10K0/1710765;RNCF0402BTE10K0;https://www.seielect.com/catalog/SEI-RNCF.pdf;RES SMD 10K OHM 0.1% 1/10W 0402;Stackpole Electronics Inc;RNCF0402BTE10K0CT-ND;[{'break_quantity': 1, 'total_price': 0.1, 'unit_price': 0.1}, {'break_quantity': 10, 'total_price': 0.7, 'unit_price': 0.07}, {'break_quantity': 25, 'total_price': 1.6, 'unit_price': 0.064}, {'break_quantity': 50, 'total_price': 3.17, 'unit_price': 0.0634}, {'break_quantity': 100, 'total_price': 5.88, 'unit_price': 0.0588}, {'break_quantity': 250, 'total_price': 13.39, 'unit_price': 0.05356}, {'break_quantity': 500, 'total_price': 26.37, 'unit_price': 0.05274}, {'break_quantity': 1000, 'total_price': 47.05, 'unit_price': 0.04705}];4597;0402 (1005 Metric)
EMG1:U$23;RNCF0805DTE82K0;RNCF0805DTE82K0;RNCF0805DTE82K0;82K Resistor 0.5% 1/4W;https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RNCF0805DTE82K0/6241983;RNCF0805DTE82K0;https://www.seielect.com/catalog/SEI-RNCF.pdf;RES SMD 82K OHM 0.5% 1/4W 0805;Stackpole Electronics Inc;738-RNCF0805DTE82K0CT-ND;[{'break_quantity': 1, 'total_price': 0.1, 'unit_price': 0.1}, {'break_quantity': 10, 'total_price': 0.29, 'unit_price': 0.029}, {'break_quantity': 25, 'total_price': 0.68, 'unit_price': 0.0272}, {'break_quantity': 50, 'total_price': 1.28, 'unit_price': 0.0256}, {'break_quantity': 100, 'total_price': 2.42, 'unit_price': 0.0242}, {'break_quantity': 250, 'total_price': 5.61, 'unit_price': 0.02244}, {'break_quantity': 500, 'total_price': 10.6, 'unit_price': 0.0212}, {'break_quantity': 1000, 'total_price': 20.05, 'unit_price': 0.02005}];5120;0805 (2012 Metric)
EMG1:U$24;RNCF0805DTE82K0;RNCF0805DTE82K0;RNCF0805DTE82K0;82K Resistor 0.5% 1/4W;https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RNCF0805DTE82K0/6241983;RNCF0805DTE82K0;https://www.seielect.com/catalog/SEI-RNCF.pdf;RES SMD 82K OHM 0.5% 1/4W 0805;Stackpole Electronics Inc;738-RNCF0805DTE82K0CT-ND;[{'break_quantity': 1, 'total_price': 0.1, 'unit_price': 0.1}, {'break_quantity': 10, 'total_price': 0.29, 'unit_price': 0.029}, {'break_quantity': 25, 'total_price': 0.68, 'unit_price': 0.0272}, {'break_quantity': 50, 'total_price': 1.28, 'unit_price': 0.0256}, {'break_quantity': 100, 'total_price': 2.42, 'unit_price': 0.0242}, {'break_quantity': 250, 'total_price': 5.61, 'unit_price': 0.02244}, {'break_quantity': 500, 'total_price': 10.6, 'unit_price': 0.0212}, {'break_quantity': 1000, 'total_price': 20.05, 'unit_price': 0.02005}];5120;0805 (2012 Metric)
