"Part";"Value";"Device";"Footprint Name";"Detailed Description";"AVAILABILITY";"CATEGORY";"COPYRIGHT";"DATASHEET";"DESCRIPTION";"DIGI-KEY_PART_NUMBER_1";"DIGI-KEY_PART_NUMBER_2";"DIGI-KEY_PART_NUMBER_3";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MAXIMUM_PACKAGE_HEIGHT";"MF";"MP";"MPN";"OPERATING_TEMPERATURE";"PACKAGE";"PACKAGE_SIZE";"PACKAGE_TYPE";"PARTREV";"PART_STATUS";"POPULARITY";"PRICE";"PROD_ID";"PURCHASE-URL";"REFDES";"ROHS";"SERIES";"SNAPEDA_PACKAGE_ID";"SPICEPREFIX";"STANDARD";"SUBCATEGORY";"THERMALLOSS";"TYPE";"VALUE";
"PWR1:3.3VLDO1:U1";"NCP167BMX330TBG";"NCP167BMX330TBG";"VREG_NCP167BMX330TBG";"";"";"";"";"";"";"";"";"";"Onsemi";"";"";"0.43 mm";"";"";"";"";"";"";"";"5";"";"";"";"";"";"";"";"";"";"";"Manufacturer Recommendations";"";"";"";"";
"PWR1:5VBOOST1:C1";"GRM033R70J103JA01D";"GRM033R70J103JA01D";"CAPC0603X33N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PWR1:5VBOOST1:C3";"22 uF";"CL21A226KQCLRNC";"CAPC2012X135N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PWR1:5VBOOST1:C4";"22 uF";"CL21A226KQCLRNC";"CAPC2012X135N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PWR1:5VBOOST1:L1";"P3519R-102JIND_P3519R_API";"P3519R-102JIND_P3519R_API";"IND_P3519R_API";"";"";"";"Copyright (C) 2025 Ultra Librarian. All rights reserved.";"";"";"";"";"";"";"API Delevan";"P3519R-102J";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed Inductors";"";
"PWR1:5VBOOST1:R3";"1M";"RNCF0603BKC1M00";"RESC1508X55N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PWR1:5VBOOST1:U3";"TPS61232DRCT";"TPS61232DRCT";"VREG_V62/16624-01YE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PWR1:9VINVBSTBCK1:C7";"4.7 uF (6.3V)";"CL10B475KQ8NQNCCAP_CL10_SAM";"CAP_CL10_SAM";"";"";"";"Copyright (C) 2025 Ultra Librarian. All rights reserved.";"";"";"";"";"";"";"Samsung";"CL10B475KQ8NQNC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PWR1:9VINVBSTBCK1:C8";"4.7 uF (6.3V)";"CL10B475KQ8NQNCCAP_CL10_SAM";"CAP_CL10_SAM";"";"";"";"Copyright (C) 2025 Ultra Librarian. All rights reserved.";"";"";"";"";"";"";"Samsung";"CL10B475KQ8NQNC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PWR1:9VINVBSTBCK1:C9";"10 nF (16V)";"KGM05AR71C103JH0402_AVX";"0402_AVX";"";"";"";"Copyright (C) 2025 Ultra Librarian. All rights reserved.";"";"";"";"";"";"";"KYOCERA AVX";"0402YC103JAT2A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
